NP,Nama,Unit Kerja,Jabatan,Gaji,Umur,Jenis Kelamin
P2016001,Bambang Wijaya,Pemasaran & Penjualan,Manager,11900000,39,Laki-laki
P2023002,Agus Nugroho,Teknologi Informasi,VP / Head of Department,25700000,41,Laki-laki
P2023003,Rizky Setiawan,Audit Internal,Supervisor,9400000,35,Laki-laki
P2019004,Fikri Hidayat,Riset & Pengembangan,Supervisor,8200000,29,Laki-laki
P2020005,Budi Nugroho,Sumber Daya Manusia,Supervisor,8900000,35,Laki-laki
P2019006,Bambang Saputra,Audit Internal,Senior Manager,19200000,35,Laki-laki
P2023007,Sari Astuti,Pengadaan & Logistik,Senior Specialist / Staff,6300000,24,Perempuan
P2018008,Dewi Kusumawardani,Sumber Daya Manusia,Supervisor,9400000,36,Perempuan
P2020009,Hendra Kusuma,Pemasaran & Penjualan,Senior Specialist / Staff,6300000,33,Laki-laki
P2017010,Dedi Saputra,Riset & Pengembangan,Manager,15700000,32,Laki-laki
P2020011,Eko Santoso,Pengadaan & Logistik,Supervisor,7800000,29,Laki-laki
P2024012,Ani Pratiwi,Riset & Pengembangan,Junior Staff / Officer,5800000,28,Perempuan
P2017013,Rina Kusumawardani,Audit Internal,Supervisor,10600000,35,Perempuan
P2021014,Maya Kusumawardani,Keuangan & Akuntansi,Supervisor,7900000,38,Perempuan
P2015015,Dedi Suryono,Keuangan & Akuntansi,Senior Specialist / Staff,7800000,33,Laki-laki
P2016016,Diah Astuti,Hukum & Kepatuhan,Supervisor,9800000,26,Perempuan
P2016017,Tari Safitri,Sumber Daya Manusia,Manager,12300000,36,Perempuan
P2015018,Indah Lestari,Audit Internal,Junior Staff / Officer,5800000,25,Perempuan
P2023019,Dedi Kusuma,Keuangan & Akuntansi,Supervisor,10800000,34,Laki-laki
P2015020,Fitri Rahayu,Sumber Daya Manusia,Junior Staff / Officer,5100000,24,Perempuan
P2015021,Taufik Permana,Sumber Daya Manusia,Senior Manager,20100000,47,Laki-laki
P2016022,Dedi Suryono,Hukum & Kepatuhan,Junior Staff / Officer,4800000,25,Laki-laki
P2023023,Ani Anggraini,Pemasaran & Penjualan,Senior Specialist / Staff,7700000,34,Perempuan
P2020024,Indah Pratiwi,Sumber Daya Manusia,Manager,11500000,34,Perempuan
P2015025,Agus Setiawan,Teknologi Informasi,Senior Manager,21300000,34,Laki-laki
P2018026,Taufik Santoso,Pengadaan & Logistik,Senior Manager,18000000,38,Laki-laki
P2022027,Rizky Hidayat,Hukum & Kepatuhan,Manager,15000000,41,Laki-laki
P2021028,Budi Pratama,Riset & Pengembangan,Supervisor,9200000,33,Laki-laki
P2015029,Ahmad Nugroho,Pengadaan & Logistik,Junior Staff / Officer,4700000,24,Laki-laki
P2018030,Rizky Saputra,Keuangan & Akuntansi,Supervisor,8700000,33,Laki-laki
P2018031,Joko Wibowo,Sumber Daya Manusia,VP / Head of Department,31100000,51,Laki-laki
P2015032,Taufik Setiawan,Keuangan & Akuntansi,Supervisor,9500000,29,Laki-laki
P2021033,Dedi Nugroho,Teknologi Informasi,Junior Staff / Officer,5100000,28,Laki-laki
P2019034,Ratna Anggraini,Hukum & Kepatuhan,Manager,13500000,32,Perempuan
P2015035,Bambang Kusuma,Teknologi Informasi,VP / Head of Department,30000000,46,Laki-laki
P2023036,Ahmad Wibowo,Sumber Daya Manusia,Junior Staff / Officer,4600000,22,Laki-laki
P2018037,Dewi Astuti,Pemasaran & Penjualan,Senior Specialist / Staff,6200000,33,Perempuan
P2016038,Nurdiana Astuti,Audit Internal,Supervisor,8600000,29,Perempuan
P2020039,Fajar Nugroho,Keuangan & Akuntansi,Senior Specialist / Staff,7300000,31,Laki-laki
P2020040,Ahmad Saputra,Sumber Daya Manusia,Senior Manager,17800000,42,Laki-laki
P2019041,Taufik Kusuma,Sumber Daya Manusia,Junior Staff / Officer,5300000,25,Laki-laki
P2017042,Sari Anggraini,Operasional,Senior Specialist / Staff,8200000,24,Perempuan
P2023043,Nurdiana Wulandari,Keuangan & Akuntansi,Manager,11900000,40,Perempuan
P2023044,Fajar Wijaya,Pemasaran & Penjualan,Senior Specialist / Staff,6900000,34,Laki-laki
P2019045,Lestari Rahayu,Sumber Daya Manusia,Senior Specialist / Staff,7200000,24,Perempuan
P2015046,Tari Lestari,Operasional,Manager,14700000,37,Perempuan
P2021047,Budi Pratama,Keuangan & Akuntansi,Supervisor,9000000,35,Laki-laki
P2023048,Irfan Hidayat,Teknologi Informasi,Supervisor,10800000,26,Laki-laki
P2020049,Rudi Setiawan,Sumber Daya Manusia,Supervisor,9800000,32,Laki-laki
P2024050,Taufik Setiawan,Keuangan & Akuntansi,Junior Staff / Officer,4900000,27,Laki-laki
